Cancer group/site,Year,Sex,Age group (years),Age Group,Count,"Age-specific rate
(per 100,000)"
string,number,number,string,string,number,number
Non-melanoma skin cancer (rare types),2013,Females,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2013,Females,40?44,40 - 44,7,0.8
Non-melanoma skin cancer (rare types),2013,Females,45?49,45 - 49,5,0.6
Non-melanoma skin cancer (rare types),2013,Females,50?54,50 - 54,9,1.2
Non-melanoma skin cancer (rare types),2013,Females,55?59,55 - 59,13,1.8
Non-melanoma skin cancer (rare types),2013,Females,60?64,60 - 64,17,2.7
Non-melanoma skin cancer (rare types),2013,Females,65?69,65 - 69,22,4.1
Non-melanoma skin cancer (rare types),2013,Females,70?74,70 - 74,35,8.8
Non-melanoma skin cancer (rare types),2013,Females,75?79,75 - 79,38,12.2
Non-melanoma skin cancer (rare types),2013,Females,80?84,80 - 84,48,19.1
Non-melanoma skin cancer (rare types),2013,Females,85?89,85 - 89,40,22.5
Non-melanoma skin cancer (rare types),2013,Females,90+,90 - 90+,37,35.4
Non-melanoma skin cancer (rare types),2013,Females,All ages combined,All - combined,276,2.4
Non-melanoma skin cancer (rare types),2014,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2014,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2014,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2014,Females,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2014,Females,20?24,20 - 24,3,0.4
Non-melanoma skin cancer (rare types),2014,Females,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2014,Females,30?34,30 - 34,2,0.2
Non-melanoma skin cancer (rare types),2014,Females,35?39,35 - 39,5,0.6
Non-melanoma skin cancer (rare types),2014,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2014,Females,45?49,45 - 49,11,1.4
Non-melanoma skin cancer (rare types),2014,Females,50?54,44690,8,1
Non-melanoma skin cancer (rare types),2014,Females,55?59,55 - 59,12,1.7
Non-melanoma skin cancer (rare types),2014,Females,60?64,60 - 64,16,2.5
Non-melanoma skin cancer (rare types),2014,Females,65?69,44690,34,6
Non-melanoma skin cancer (rare types),2014,Females,70?74,70 - 74,27,6.5
Non-melanoma skin cancer (rare types),2014,Females,75?79,75 - 79,41,12.7
Non-melanoma skin cancer (rare types),2014,Females,80?84,80 - 84,45,17.9
Non-melanoma skin cancer (rare types),2014,Females,85?89,85 - 89,49,27.3
Non-melanoma skin cancer (rare types),2014,Females,90+,90 - 90+,33,29.9
Non-melanoma skin cancer (rare types),2014,Females,All ages combined,All - combined,293,2.5
Non-melanoma skin cancer (rare types),2015,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2015,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2015,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2015,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2015,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2015,Females,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2015,Females,30?34,30 - 34,2,0.2
Non-melanoma skin cancer (rare types),2015,Females,35?39,35 - 39,1,0.1
Non-melanoma skin cancer (rare types),2015,Females,40?44,40 - 44,2,0.2
Non-melanoma skin cancer (rare types),2015,Females,45?49,45 - 49,6,0.8
Non-melanoma skin cancer (rare types),2015,Females,50?54,50 - 54,7,0.9
Non-melanoma skin cancer (rare types),2015,Females,55?59,55 - 59,13,1.8
Non-melanoma skin cancer (rare types),2015,Females,60?64,60 - 64,24,3.7
Non-melanoma skin cancer (rare types),2015,Females,65?69,65 - 69,30,5.1
Non-melanoma skin cancer (rare types),2015,Females,70?74,70 - 74,37,8.5
Non-melanoma skin cancer (rare types),2015,Females,75?79,75 - 79,42,12.6
Non-melanoma skin cancer (rare types),2015,Females,80?84,80 - 84,64,25.6
Non-melanoma skin cancer (rare types),2015,Females,85?89,85 - 89,51,28.1
Non-melanoma skin cancer (rare types),2015,Females,90+,90 - 90+,53,45.9
Non-melanoma skin cancer (rare types),2015,Females,All ages combined,All - combined,333,2.8
Non-melanoma skin cancer (rare types),2016,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2016,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2016,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2016,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2016,Females,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2016,Females,25?29,25 - 29,6,0.7
Non-melanoma skin cancer (rare types),2016,Females,30?34,30 - 34,4,0.4
Non-melanoma skin cancer (rare types),2016,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2016,Females,40?44,40 - 44,2,0.2
Non-melanoma skin cancer (rare types),2016,Females,45?49,44690,8,1
Non-melanoma skin cancer (rare types),2016,Females,50?54,50 - 54,14,1.8
Non-melanoma skin cancer (rare types),2016,Females,55?59,55 - 59,13,1.7
Non-melanoma skin cancer (rare types),2016,Females,60?64,60 - 64,29,4.3
Non-melanoma skin cancer (rare types),2016,Females,65?69,44690,30,5
Non-melanoma skin cancer (rare types),2016,Females,70?74,70 - 74,31,6.8
Non-melanoma skin cancer (rare types),2016,Females,75?79,75 - 79,50,14.6
Non-melanoma skin cancer (rare types),2016,Females,80?84,80 - 84,50,19.8
Non-melanoma skin cancer (rare types),2016,Females,85?89,85 - 89,50,27.3
Non-melanoma skin cancer (rare types),2016,Females,90+,90 - 90+,52,43.2
Non-melanoma skin cancer (rare types),2016,Females,All ages combined,All - combined,343,2.8
Non-melanoma skin cancer (rare types),2017,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2017,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2017,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2017,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2017,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2017,Females,25?29,44690,0,0
Non-melanoma skin cancer (rare types),2017,Females,30?34,30 - 34,4,0.4
Non-melanoma skin cancer (rare types),2017,Females,35?39,35 - 39,3,0.4
Non-melanoma skin cancer (rare types),2017,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2017,Females,45?49,45 - 49,4,0.5
Non-melanoma skin cancer (rare types),2017,Females,50?54,50 - 54,15,1.9
Non-melanoma skin cancer (rare types),2017,Females,55?59,44690,15,2
Non-melanoma skin cancer (rare types),2017,Females,60?64,60 - 64,13,1.9
Non-melanoma skin cancer (rare types),2017,Females,65?69,65 - 69,36,5.9
Non-melanoma skin cancer (rare types),2017,Females,70?74,70 - 74,46,9.4
Non-melanoma skin cancer (rare types),2017,Females,75?79,75 - 79,49,13.8
Non-melanoma skin cancer (rare types),2017,Females,80?84,80 - 84,72,27.8
Non-melanoma skin cancer (rare types),2017,Females,85?89,85 - 89,68,37.2
Non-melanoma skin cancer (rare types),2017,Females,90+,90 - 90+,53,42.4
Non-melanoma skin cancer (rare types),2017,Females,All ages combined,All - combined,383,3.1
Non-melanoma skin cancer (rare types),2018,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2018,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2018,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2018,Females,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2018,Females,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2018,Females,25?29,25 - 29,1,0.1
Non-melanoma skin cancer (rare types),2018,Females,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2018,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2018,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2018,Females,45?49,45 - 49,6,0.7
Non-melanoma skin cancer (rare types),2018,Females,50?54,50 - 54,22,2.8
Non-melanoma skin cancer (rare types),2018,Females,55?59,55 - 59,17,2.2
Non-melanoma skin cancer (rare types),2018,Females,60?64,60 - 64,23,3.3
Non-melanoma skin cancer (rare types),2018,Females,65?69,65 - 69,38,6.2
Non-melanoma skin cancer (rare types),2018,Females,70?74,70 - 74,33,6.4
Non-melanoma skin cancer (rare types),2018,Females,75?79,44690,44,12
Non-melanoma skin cancer (rare types),2018,Females,80?84,80 - 84,61,22.8
Non-melanoma skin cancer (rare types),2018,Females,85?89,85 - 89,59,32.2
Non-melanoma skin cancer (rare types),2018,Females,90+,90 - 90+,63,48.8
Non-melanoma skin cancer (rare types),2018,Females,All ages combined,44690,378,3
Non-melanoma skin cancer (rare types),2019,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2019,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2019,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2019,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2019,Females,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2019,Females,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2019,Females,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2019,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2019,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2019,Females,45?49,45 - 49,7,0.8
Non-melanoma skin cancer (rare types),2019,Females,50?54,50 - 54,18,2.3
Non-melanoma skin cancer (rare types),2019,Females,55?59,55 - 59,15,1.9
Non-melanoma skin cancer (rare types),2019,Females,60?64,60 - 64,25,3.5
Non-melanoma skin cancer (rare types),2019,Females,65?69,65 - 69,39,6.2
Non-melanoma skin cancer (rare types),2019,Females,70?74,70 - 74,41,7.6
Non-melanoma skin cancer (rare types),2019,Females,75?79,75 - 79,53,13.8
Non-melanoma skin cancer (rare types),2019,Females,80?84,80 - 84,68,24.5
Non-melanoma skin cancer (rare types),2019,Females,85?89,44690,59,32
Non-melanoma skin cancer (rare types),2019,Females,90+,44690,64,48
Non-melanoma skin cancer (rare types),2019,Females,All ages combined,All - combined,402,3.1
Non-melanoma skin cancer (rare types),2020,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2020,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2020,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2020,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2020,Females,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2020,Females,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2020,Females,30?34,30 - 34,3,0.3
Non-melanoma skin cancer (rare types),2020,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2020,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2020,Females,45?49,45 - 49,7,0.8
Non-melanoma skin cancer (rare types),2020,Females,50?54,50 - 54,19,2.4
Non-melanoma skin cancer (rare types),2020,Females,55?59,55 - 59,15,1.9
Non-melanoma skin cancer (rare types),2020,Females,60?64,60 - 64,27,3.6
Non-melanoma skin cancer (rare types),2020,Females,65?69,65 - 69,42,6.5
Non-melanoma skin cancer (rare types),2020,Females,70?74,70 - 74,42,7.4
Non-melanoma skin cancer (rare types),2020,Females,75?79,75 - 79,58,14.4
Non-melanoma skin cancer (rare types),2020,Females,80?84,80 - 84,73,25.3
Non-melanoma skin cancer (rare types),2020,Females,85?89,85 - 89,61,32.7
Non-melanoma skin cancer (rare types),2020,Females,90+,90 - 90+,69,49.9
Non-melanoma skin cancer (rare types),2020,Females,All ages combined,All - combined,426,3.3
Non-melanoma skin cancer (rare types),2021,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2021,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2021,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2021,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2021,Females,20?24,20 - 24,2,0.3
Non-melanoma skin cancer (rare types),2021,Females,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2021,Females,30?34,30 - 34,4,0.4
Non-melanoma skin cancer (rare types),2021,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2021,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2021,Females,45?49,45 - 49,7,0.8
Non-melanoma skin cancer (rare types),2021,Females,50?54,50 - 54,21,2.6
Non-melanoma skin cancer (rare types),2021,Females,55?59,55 - 59,14,1.8
Non-melanoma skin cancer (rare types),2021,Females,60?64,60 - 64,28,3.7
Non-melanoma skin cancer (rare types),2021,Females,65?69,65 - 69,44,6.7
Non-melanoma skin cancer (rare types),2021,Females,70?74,70 - 74,43,7.4
Non-melanoma skin cancer (rare types),2021,Females,75?79,75 - 79,62,14.7
Non-melanoma skin cancer (rare types),2021,Females,80?84,80 - 84,78,26.1
Non-melanoma skin cancer (rare types),2021,Females,85?89,85 - 89,63,33.2
Non-melanoma skin cancer (rare types),2021,Females,90+,44690,75,52
Non-melanoma skin cancer (rare types),2021,Females,All ages combined,All - combined,449,3.5
Non-melanoma skin cancer (rare types),2022,Females,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2022,Females,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2022,Females,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2022,Females,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2022,Females,20?24,20 - 24,2,0.3
Non-melanoma skin cancer (rare types),2022,Females,25?29,25 - 29,2,0.2
Non-melanoma skin cancer (rare types),2022,Females,30?34,30 - 34,4,0.4
Non-melanoma skin cancer (rare types),2022,Females,35?39,35 - 39,2,0.2
Non-melanoma skin cancer (rare types),2022,Females,40?44,40 - 44,4,0.5
Non-melanoma skin cancer (rare types),2022,Females,45?49,45 - 49,6,0.7
Non-melanoma skin cancer (rare types),2022,Females,50?54,50 - 54,23,2.7
Non-melanoma skin cancer (rare types),2022,Females,55?59,55 - 59,14,1.8
Non-melanoma skin cancer (rare types),2022,Females,60?64,60 - 64,30,3.9
Non-melanoma skin cancer (rare types),2022,Females,65?69,65 - 69,47,6.9
Non-melanoma skin cancer (rare types),2022,Females,70?74,70 - 74,43,7.3
Non-melanoma skin cancer (rare types),2022,Females,75?79,44690,68,15
Non-melanoma skin cancer (rare types),2022,Females,80?84,80 - 84,83,26.8
Non-melanoma skin cancer (rare types),2022,Females,85?89,85 - 89,66,33.7
Non-melanoma skin cancer (rare types),2022,Females,90+,90 - 90+,77,53.4
Non-melanoma skin cancer (rare types),2022,Females,All ages combined,All - combined,471,3.6
Non-melanoma skin cancer (rare types),2002,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2002,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2002,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2002,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2002,Persons,20?24,20 - 24,2,0.2
Non-melanoma skin cancer (rare types),2002,Persons,25?29,25 - 29,6,0.4
Non-melanoma skin cancer (rare types),2002,Persons,30?34,30 - 34,2,0.1
Non-melanoma skin cancer (rare types),2002,Persons,35?39,35 - 39,4,0.3
Non-melanoma skin cancer (rare types),2002,Persons,40?44,40 - 44,10,0.7
Non-melanoma skin cancer (rare types),2002,Persons,45?49,45 - 49,18,1.3
Non-melanoma skin cancer (rare types),2002,Persons,50?54,50 - 54,24,1.9
Non-melanoma skin cancer (rare types),2002,Persons,55?59,55 - 59,31,2.9
Non-melanoma skin cancer (rare types),2002,Persons,60?64,44690,42,5
Non-melanoma skin cancer (rare types),2002,Persons,65?69,65 - 69,47,6.8
Non-melanoma skin cancer (rare types),2002,Persons,70?74,70 - 74,74,11.7
Non-melanoma skin cancer (rare types),2002,Persons,75?79,75 - 79,91,17.4
Non-melanoma skin cancer (rare types),2002,Persons,80?84,80 - 84,97,28.1
Non-melanoma skin cancer (rare types),2002,Persons,85?89,85 - 89,63,34.2
Non-melanoma skin cancer (rare types),2002,Persons,90+,90 - 90+,25,28.3
Non-melanoma skin cancer (rare types),2002,Persons,All ages combined,All - combined,536,2.7
Non-melanoma skin cancer (rare types),2003,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2003,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2003,Persons,10?14,44848,2,0.1
Non-melanoma skin cancer (rare types),2003,Persons,15?19,15 - 19,2,0.1
Non-melanoma skin cancer (rare types),2003,Persons,20?24,20 - 24,2,0.1
Non-melanoma skin cancer (rare types),2003,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2003,Persons,30?34,30 - 34,4,0.3
Non-melanoma skin cancer (rare types),2003,Persons,35?39,35 - 39,8,0.6
Non-melanoma skin cancer (rare types),2003,Persons,40?44,40 - 44,12,0.8
Non-melanoma skin cancer (rare types),2003,Persons,45?49,45 - 49,18,1.3
Non-melanoma skin cancer (rare types),2003,Persons,50?54,50 - 54,31,2.4
Non-melanoma skin cancer (rare types),2003,Persons,55?59,44690,34,3
Non-melanoma skin cancer (rare types),2003,Persons,60?64,60 - 64,40,4.6
Non-melanoma skin cancer (rare types),2003,Persons,65?69,65 - 69,44,6.2
Non-melanoma skin cancer (rare types),2003,Persons,70?74,70 - 74,71,11.4
Non-melanoma skin cancer (rare types),2003,Persons,75?79,75 - 79,89,16.7
Non-melanoma skin cancer (rare types),2003,Persons,80?84,80 - 84,88,24.3
Non-melanoma skin cancer (rare types),2003,Persons,85?89,85 - 89,59,31.5
Non-melanoma skin cancer (rare types),2003,Persons,90+,90 - 90+,25,27.2
Non-melanoma skin cancer (rare types),2003,Persons,All ages combined,All - combined,531,2.7
Non-melanoma skin cancer (rare types),2004,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2004,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2004,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2004,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2004,Persons,20?24,20 - 24,2,0.1
Non-melanoma skin cancer (rare types),2004,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2004,Persons,30?34,30 - 34,5,0.3
Non-melanoma skin cancer (rare types),2004,Persons,35?39,35 - 39,10,0.7
Non-melanoma skin cancer (rare types),2004,Persons,40?44,40 - 44,12,0.8
Non-melanoma skin cancer (rare types),2004,Persons,45?49,45 - 49,11,0.8
Non-melanoma skin cancer (rare types),2004,Persons,50?54,50 - 54,22,1.7
Non-melanoma skin cancer (rare types),2004,Persons,55?59,55 - 59,41,3.5
Non-melanoma skin cancer (rare types),2004,Persons,60?64,60 - 64,35,3.9
Non-melanoma skin cancer (rare types),2004,Persons,65?69,65 - 69,48,6.6
Non-melanoma skin cancer (rare types),2004,Persons,70?74,70 - 74,71,11.4
Non-melanoma skin cancer (rare types),2004,Persons,75?79,75 - 79,87,16.1
Non-melanoma skin cancer (rare types),2004,Persons,80?84,80 - 84,104,27.4
Non-melanoma skin cancer (rare types),2004,Persons,85?89,44690,74,39
Non-melanoma skin cancer (rare types),2004,Persons,90+,90 - 90+,40,41.4
Non-melanoma skin cancer (rare types),2004,Persons,All ages combined,All - combined,564,2.8
Non-melanoma skin cancer (rare types),2005,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2005,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2005,Persons,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2005,Persons,15?19,15 - 19,1,0.1
Non-melanoma skin cancer (rare types),2005,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2005,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2005,Persons,30?34,30 - 34,2,0.1
Non-melanoma skin cancer (rare types),2005,Persons,35?39,35 - 39,8,0.5
Non-melanoma skin cancer (rare types),2005,Persons,40?44,40 - 44,10,0.7
Non-melanoma skin cancer (rare types),2005,Persons,45?49,45 - 49,18,1.2
Non-melanoma skin cancer (rare types),2005,Persons,50?54,50 - 54,17,1.3
Non-melanoma skin cancer (rare types),2005,Persons,55?59,55 - 59,27,2.2
Non-melanoma skin cancer (rare types),2005,Persons,60?64,44690,37,4
Non-melanoma skin cancer (rare types),2005,Persons,65?69,65 - 69,44,5.8
Non-melanoma skin cancer (rare types),2005,Persons,70?74,44690,62,10
Non-melanoma skin cancer (rare types),2005,Persons,75?79,75 - 79,129,23.7
Non-melanoma skin cancer (rare types),2005,Persons,80?84,80 - 84,104,26.5
Non-melanoma skin cancer (rare types),2005,Persons,85?89,85 - 89,75,37.5
Non-melanoma skin cancer (rare types),2005,Persons,90+,90 - 90+,33,32.2
Non-melanoma skin cancer (rare types),2005,Persons,All ages combined,All - combined,572,2.8
Non-melanoma skin cancer (rare types),2006,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2006,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2006,Persons,10?14,44848,2,0.1
Non-melanoma skin cancer (rare types),2006,Persons,15?19,15 - 19,2,0.1
Non-melanoma skin cancer (rare types),2006,Persons,20?24,20 - 24,2,0.1
Non-melanoma skin cancer (rare types),2006,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2006,Persons,30?34,30 - 34,4,0.3
Non-melanoma skin cancer (rare types),2006,Persons,35?39,35 - 39,7,0.5
Non-melanoma skin cancer (rare types),2006,Persons,40?44,40 - 44,11,0.7
Non-melanoma skin cancer (rare types),2006,Persons,45?49,45 - 49,14,0.9
Non-melanoma skin cancer (rare types),2006,Persons,50?54,44690,27,2
Non-melanoma skin cancer (rare types),2006,Persons,55?59,55 - 59,27,2.1
Non-melanoma skin cancer (rare types),2006,Persons,60?64,44690,49,5
Non-melanoma skin cancer (rare types),2006,Persons,65?69,65 - 69,56,7.2
Non-melanoma skin cancer (rare types),2006,Persons,70?74,70 - 74,79,12.7
Non-melanoma skin cancer (rare types),2006,Persons,75?79,75 - 79,87,15.9
Non-melanoma skin cancer (rare types),2006,Persons,80?84,80 - 84,118,29.4
Non-melanoma skin cancer (rare types),2006,Persons,85?89,44690,87,41
Non-melanoma skin cancer (rare types),2006,Persons,90+,90 - 90+,41,38.5
Non-melanoma skin cancer (rare types),2006,Persons,All ages combined,44690,616,3
Non-melanoma skin cancer (rare types),2007,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2007,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2007,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2007,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2007,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2007,Persons,25?29,25 - 29,4,0.3
Non-melanoma skin cancer (rare types),2007,Persons,30?34,30 - 34,2,0.1
Non-melanoma skin cancer (rare types),2007,Persons,35?39,35 - 39,7,0.4
Non-melanoma skin cancer (rare types),2007,Persons,40?44,40 - 44,12,0.8
Non-melanoma skin cancer (rare types),2007,Persons,45?49,45 - 49,23,1.5
Non-melanoma skin cancer (rare types),2007,Persons,50?54,50 - 54,31,2.3
Non-melanoma skin cancer (rare types),2007,Persons,55?59,55 - 59,49,3.9
Non-melanoma skin cancer (rare types),2007,Persons,60?64,60 - 64,56,5.3
Non-melanoma skin cancer (rare types),2007,Persons,65?69,65 - 69,43,5.4
Non-melanoma skin cancer (rare types),2007,Persons,70?74,70 - 74,79,12.3
Non-melanoma skin cancer (rare types),2007,Persons,75?79,75 - 79,98,17.9
Non-melanoma skin cancer (rare types),2007,Persons,80?84,44690,111,27
Non-melanoma skin cancer (rare types),2007,Persons,85?89,85 - 89,93,41.1
Non-melanoma skin cancer (rare types),2007,Persons,90+,90 - 90+,50,45.1
Non-melanoma skin cancer (rare types),2007,Persons,All ages combined,All - combined,659,3.2
Non-melanoma skin cancer (rare types),2008,Persons,00?04,00 - 04,1,0.1
Non-melanoma skin cancer (rare types),2008,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2008,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2008,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2008,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2008,Persons,25?29,25 - 29,2,0.1
Non-melanoma skin cancer (rare types),2008,Persons,30?34,30 - 34,5,0.3
Non-melanoma skin cancer (rare types),2008,Persons,35?39,35 - 39,10,0.6
Non-melanoma skin cancer (rare types),2008,Persons,40?44,40 - 44,7,0.5
Non-melanoma skin cancer (rare types),2008,Persons,45?49,44690,16,1
Non-melanoma skin cancer (rare types),2008,Persons,50?54,50 - 54,18,1.3
Non-melanoma skin cancer (rare types),2008,Persons,55?59,55 - 59,43,3.4
Non-melanoma skin cancer (rare types),2008,Persons,60?64,60 - 64,41,3.7
Non-melanoma skin cancer (rare types),2008,Persons,65?69,65 - 69,62,7.5
Non-melanoma skin cancer (rare types),2008,Persons,70?74,70 - 74,93,14.1
Non-melanoma skin cancer (rare types),2008,Persons,75?79,75 - 79,91,16.6
Non-melanoma skin cancer (rare types),2008,Persons,80?84,80 - 84,100,23.8
Non-melanoma skin cancer (rare types),2008,Persons,85?89,85 - 89,103,43.1
Non-melanoma skin cancer (rare types),2008,Persons,90+,90 - 90+,50,44.1
Non-melanoma skin cancer (rare types),2008,Persons,All ages combined,44690,643,3
Non-melanoma skin cancer (rare types),2009,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2009,Persons,05?09,44690,1,0.1
Non-melanoma skin cancer (rare types),2009,Persons,10?14,44848,1,0.1
Non-melanoma skin cancer (rare types),2009,Persons,15?19,44690,0,0
Non-melanoma skin cancer (rare types),2009,Persons,20?24,20 - 24,1,0.1
Non-melanoma skin cancer (rare types),2009,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2009,Persons,30?34,30 - 34,5,0.3
Non-melanoma skin cancer (rare types),2009,Persons,35?39,35 - 39,6,0.4
Non-melanoma skin cancer (rare types),2009,Persons,40?44,40 - 44,8,0.5
Non-melanoma skin cancer (rare types),2009,Persons,45?49,44690,15,1
Non-melanoma skin cancer (rare types),2009,Persons,50?54,50 - 54,20,1.4
Non-melanoma skin cancer (rare types),2009,Persons,55?59,55 - 59,30,2.3
Non-melanoma skin cancer (rare types),2009,Persons,60?64,60 - 64,45,3.9
Non-melanoma skin cancer (rare types),2009,Persons,65?69,65 - 69,63,7.3
Non-melanoma skin cancer (rare types),2009,Persons,70?74,70 - 74,98,14.4
Non-melanoma skin cancer (rare types),2009,Persons,75?79,44690,104,19
Non-melanoma skin cancer (rare types),2009,Persons,80?84,80 - 84,134,31.3
Non-melanoma skin cancer (rare types),2009,Persons,85?89,85 - 89,120,47.6
Non-melanoma skin cancer (rare types),2009,Persons,90+,90 - 90+,40,34.5
Non-melanoma skin cancer (rare types),2009,Persons,All ages combined,All - combined,694,3.2
Non-melanoma skin cancer (rare types),2010,Persons,00?04,44690,0,0
Non-melanoma skin cancer (rare types),2010,Persons,05?09,44690,0,0
Non-melanoma skin cancer (rare types),2010,Persons,10?14,44690,0,0
Non-melanoma skin cancer (rare types),2010,Persons,15?19,15 - 19,2,0.1
Non-melanoma skin cancer (rare types),2010,Persons,20?24,20 - 24,2,0.1
Non-melanoma skin cancer (rare types),2010,Persons,25?29,25 - 29,3,0.2
Non-melanoma skin cancer (rare types),2010,Persons,30?34,30 - 34,4,0.3
Non-melanoma skin cancer (rare types),2010,Persons,35?39,35 - 39,13,0.8
Non-melanoma skin cancer (rare types),2010,Persons,40?44,40 - 44,10,0.7
Non-melanoma skin cancer (rare types),2010,Persons,45?49,45 - 49,20,1.3
Non-melanoma skin cancer (rare types),2010,Persons,50?54,50 - 54,20,1.4
